iter,method,cos2_alpha,cos2_beta,ab_dp,eig1_X,eig2_X,eig1_YA,eig2_YA
1,SR-NN,0.938989514432097,0.0014077076239473018,0.07967305078813929,52.2949104376513,1.593196676932872,230.12433182985814,3.055912783680269
1,LASSO Y / LASSO T,0.9867155953621757,0.8880497052187896,0.6583717991895253,,,,
1,LASSO Y / Ridge T,0.9867155953621757,0.824553384277104,0.647362036135328,,,,
1,Ridge Y / LASSO T,0.9712192715662381,0.8880497052187896,0.6677839383654338,,,,
1,Ridge Y / Ridge T,0.9712192715662381,0.824553384277104,0.6587169980003371,,,,
2,SR-NN,0.9059479423348549,0.33035359842636114,0.233911816141795,155.68923284962062,60.618085085191744,130.7511978016457,0.884408329716781
2,LASSO Y / LASSO T,0.9903279356963994,0.9086894182093452,0.7131348238420664,,,,
2,LASSO Y / Ridge T,0.9903279356963994,0.7736687489747126,0.6726426913815389,,,,
2,Ridge Y / LASSO T,0.9749490296354181,0.9086894182093452,0.725730973306919,,,,
2,Ridge Y / Ridge T,0.9749490296354181,0.7736687489747126,0.6839736099710518,,,,
3,SR-NN,0.9516067371719485,0.30245356148610003,0.23346182495872972,236.05139068626053,4.293265912091086,491.4763075363244,2.1455181365806717
3,LASSO Y / LASSO T,0.9889876120012263,0.9136813285212141,0.7024937542763472,,,,
3,LASSO Y / Ridge T,0.9889876120012263,0.833210803114674,0.6716054918901959,,,,
3,Ridge Y / LASSO T,0.9704629512724696,0.9136813285212141,0.6860252388539166,,,,
3,Ridge Y / Ridge T,0.9704629512724696,0.833210803114674,0.6577229622651959,,,,
4,SR-NN,0.974106815808715,0.00013015235387596485,-0.09193967457471552,9.276223068155412,2.443249911029476,164.8385582525996,2.0854022180020775
4,LASSO Y / LASSO T,0.9920589140265917,0.9149183735056013,0.680136617005486,,,,
4,LASSO Y / Ridge T,0.9920589140265917,0.838858472590453,0.652805797184407,,,,
4,Ridge Y / LASSO T,0.9739049001012315,0.9149183735056013,0.6863983758681363,,,,
4,Ridge Y / Ridge T,0.9739049001012315,0.838858472590453,0.6573680987399598,,,,
5,SR-NN,0.9529872591801475,0.04763870320735929,0.014287363133472383,143.47978707834514,1.9480758837815557,181.8248329763699,1.474554195253819
5,LASSO Y / LASSO T,0.986393959829889,0.9129691715919629,0.6484721295825803,,,,
5,LASSO Y / Ridge T,0.986393959829889,0.8643342449022878,0.6210810803892288,,,,
5,Ridge Y / LASSO T,0.9714557609860632,0.9129691715919629,0.6489708568644136,,,,
5,Ridge Y / Ridge T,0.9714557609860632,0.8643342449022878,0.6206712042269229,,,,
6,SR-NN,0.9152782958618239,0.13494013053648657,0.14495083458892,292.0270462499636,62.921457302087404,156.7423795218407,7.762366924960638
6,LASSO Y / LASSO T,0.9895001967695262,0.9024503586034566,0.6712000659960563,,,,
6,LASSO Y / Ridge T,0.9895001967695262,0.8411307759140408,0.64224059028548,,,,
6,Ridge Y / LASSO T,0.9748701212593414,0.9024503586034566,0.6767064546667004,,,,
6,Ridge Y / Ridge T,0.9748701212593414,0.8411307759140408,0.6464866579518772,,,,
7,SR-NN,0.9637262130417236,0.01620666374197739,0.12585026302454527,32.71512196005321,1.244833609142677,305.8285841755545,1.5384388277055976
7,LASSO Y / LASSO T,0.9893404208363176,0.9183590429179543,0.7093075559985611,,,,
7,LASSO Y / Ridge T,0.9893404208363176,0.8656753533622142,0.6858119657182856,,,,
7,Ridge Y / LASSO T,0.9584780996397941,0.9183590429179543,0.7069312913372444,,,,
7,Ridge Y / Ridge T,0.9584780996397941,0.8656753533622142,0.690087462970845,,,,
8,SR-NN,0.9537574190670272,0.017106474133296783,0.14736695474683661,67.7810468109263,1.1656462419398652,180.41017561882066,0.8001348164821463
8,LASSO Y / LASSO T,0.9904438138666328,0.9225274151565285,0.7206230022766406,,,,
8,LASSO Y / Ridge T,0.9904438138666328,0.826042298116403,0.6854451920116713,,,,
8,Ridge Y / LASSO T,0.9777954947627274,0.9225274151565285,0.7218517864216772,,,,
8,Ridge Y / Ridge T,0.9777954947627274,0.826042298116403,0.6820514319618922,,,,
9,SR-NN,0.9596134833533524,0.024788825539177963,-0.1604586037308465,6.487215278291892,2.228376676565849,269.21986692421876,2.6393204888376487
9,LASSO Y / LASSO T,0.9863791974607647,0.9044863116597146,0.7148460019439886,,,,
9,LASSO Y / Ridge T,0.9863791974607647,0.8340060302100301,0.6928100174040608,,,,
9,Ridge Y / LASSO T,0.9659551723961953,0.9044863116597146,0.7228393638658249,,,,
9,Ridge Y / Ridge T,0.9659551723961953,0.8340060302100301,0.701824555323179,,,,
10,SR-NN,0.9440061803883024,0.0021739484751932595,0.014460066321945604,375.88044999696973,1.0680011747564495,251.03413234869282,8.11673917417028
10,LASSO Y / LASSO T,0.9881499275569628,0.9088131035864634,0.7008058283751519,,,,
10,LASSO Y / Ridge T,0.9881499275569628,0.838905483617742,0.674644666195184,,,,
10,Ridge Y / LASSO T,0.9804273699978607,0.9088131035864634,0.7016152970532357,,,,
10,Ridge Y / Ridge T,0.9804273699978607,0.838905483617742,0.677337175860323,,,,
11,SR-NN,0.9575637241424232,0.038454776125186024,-0.31366673013401203,7.793597714354256,0.7798449293995353,224.69127768127495,1.4407958102943101
11,LASSO Y / LASSO T,0.9908101377073055,0.8952190399825721,0.7141621588625896,,,,
11,LASSO Y / Ridge T,0.9908101377073055,0.8427284435192888,0.6888386279086619,,,,
11,Ridge Y / LASSO T,0.972566044803175,0.8952190399825721,0.6995753831510286,,,,
11,Ridge Y / Ridge T,0.972566044803175,0.8427284435192888,0.6714821009966764,,,,
12,SR-NN,0.9462699593916603,0.0002798944864721565,0.04325591292326789,221.49801406326478,177.44411449401625,179.27360268737527,0.6259601309959614
12,LASSO Y / LASSO T,0.9930016355187278,0.9165303787183422,0.7015484172993327,,,,
12,LASSO Y / Ridge T,0.9930016355187278,0.8712142738807414,0.6652648812890112,,,,
12,Ridge Y / LASSO T,0.9710004584761526,0.9165303787183422,0.697784358978797,,,,
12,Ridge Y / Ridge T,0.9710004584761526,0.8712142738807414,0.6607176527773176,,,,
13,SR-NN,0.9648165791928395,0.02045077795962181,0.09849571271438375,197.67210724918,33.08588866212771,205.8726699766872,3.3346700031772194
13,LASSO Y / LASSO T,0.9886497965337353,0.9117562826469221,0.7507835044199462,,,,
13,LASSO Y / Ridge T,0.9886497965337353,0.8415013458225573,0.7353586308647744,,,,
13,Ridge Y / LASSO T,0.9703728865153891,0.9117562826469221,0.7563118155157714,,,,
13,Ridge Y / Ridge T,0.9703728865153891,0.8415013458225573,0.7413967752905577,,,,
14,SR-NN,0.9487841601215465,0.21695190761850042,-0.22181881387379238,168.93088801801318,32.22501778047446,301.17256039825406,2.1367568069522913
14,LASSO Y / LASSO T,0.9881325347486086,0.9089038490868719,0.694180510197542,,,,
14,LASSO Y / Ridge T,0.9881325347486086,0.847053232261117,0.6594468009374708,,,,
14,Ridge Y / LASSO T,0.9723128561682067,0.9089038490868719,0.6967612159710564,,,,
14,Ridge Y / Ridge T,0.9723128561682067,0.847053232261117,0.6655820908851898,,,,
15,SR-NN,0.9438233786289175,1.9356464094732475e-05,-0.09192661096431248,306.5170949537545,113.8952449685708,262.85885677249615,3.222723049540115
15,LASSO Y / LASSO T,0.9895964499965606,0.9315181222241103,0.7302665772116275,,,,
15,LASSO Y / Ridge T,0.9895964499965606,0.8507634308564835,0.7080762018544126,,,,
15,Ridge Y / LASSO T,0.9749329126318848,0.9315181222241103,0.7396513757807097,,,,
15,Ridge Y / Ridge T,0.9749329126318848,0.8507634308564835,0.7192348123494439,,,,
16,SR-NN,0.898789190534067,0.33333800307023026,0.28437167448706036,197.11376539927457,7.830503006473422,314.5565582342398,4.130405530296406
16,LASSO Y / LASSO T,0.9844392987836588,0.8938850475712941,0.6341795200235522,,,,
16,LASSO Y / Ridge T,0.9844392987836588,0.8178982758531502,0.6587989567374214,,,,
16,Ridge Y / LASSO T,0.9660139306960007,0.8938850475712941,0.6394318935093481,,,,
16,Ridge Y / Ridge T,0.9660139306960007,0.8178982758531502,0.6683277662253694,,,,
17,SR-NN,0.9227970280126618,0.018396554107127355,-0.10269915774877594,82.92108274735223,1.8662512720445137,342.72469695357546,14.87749426789987
17,LASSO Y / LASSO T,0.98835810110272,0.9007201369183533,0.7240584254442911,,,,
17,LASSO Y / Ridge T,0.98835810110272,0.8204520030729888,0.6899279666658394,,,,
17,Ridge Y / LASSO T,0.9739875465725265,0.9007201369183533,0.7267585923232773,,,,
17,Ridge Y / Ridge T,0.9739875465725265,0.8204520030729888,0.6939341550844327,,,,
18,SR-NN,0.9666675648059431,0.024984468685065923,-0.07552691612995317,170.6674561278954,22.264048010221227,234.79744741514884,1.212957148873565
18,LASSO Y / LASSO T,0.988248403170623,0.9154860515648383,0.6918929521102383,,,,
18,LASSO Y / Ridge T,0.988248403170623,0.8631174238121272,0.6823741007590485,,,,
18,Ridge Y / LASSO T,0.9747642850378277,0.9154860515648383,0.6914942978142246,,,,
18,Ridge Y / Ridge T,0.9747642850378277,0.8631174238121272,0.6839144179379973,,,,
19,SR-NN,0.9318426357678847,0.11928307469224991,-0.16373924660754152,200.08665989984692,184.53270058693838,211.19138678511408,1.3339082084850937
19,LASSO Y / LASSO T,0.9902272718990027,0.9233442353317184,0.7236534050215314,,,,
19,LASSO Y / Ridge T,0.9902272718990027,0.8510818576002516,0.7006105875580817,,,,
19,Ridge Y / LASSO T,0.9747763508886585,0.9233442353317184,0.716667810041195,,,,
19,Ridge Y / Ridge T,0.9747763508886585,0.8510818576002516,0.6931106103100797,,,,
20,SR-NN,0.9497505190118353,0.16712756468371548,0.07343858367545353,304.5500141381929,12.23811516593371,383.0221176643769,4.385078573322371
20,LASSO Y / LASSO T,0.9912269289938753,0.9059778483458385,0.7135733856026799,,,,
20,LASSO Y / Ridge T,0.9912269289938753,0.826654926506604,0.7189619036298055,,,,
20,Ridge Y / LASSO T,0.9772889203970686,0.9059778483458385,0.7284379550669601,,,,
20,Ridge Y / Ridge T,0.9772889203970686,0.826654926506604,0.7272196837762948,,,,
